doc_id,annotator,model,model_reported,attempts,input_tokens,output_tokens,latency_s,called_at_utc,prompt_fingerprint
GT-082,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10047,1399,2.01,2026-09-18T03:25:48.881140+00:00,53c7ce151f935769
GT-055,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10066,1759,2.36,2026-09-18T03:20:56.438911+00:00,53c7ce151f935769
GT-092,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9878,1811,3.41,2026-09-18T03:26:52.666743+00:00,53c7ce151f935769
GT-159,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9946,1972,2.75,2026-09-18T03:14:38.251942+00:00,53c7ce151f935769
GT-142,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10005,1451,3.4,2026-09-19T00:02:28.268353+00:00,53c7ce151f935769
GT-139,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9890,1232,3.05,2026-09-18T23:43:18.571922+00:00,53c7ce151f935769
GT-151,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10610,1261,2.36,2026-09-19T00:03:29.928884+00:00,53c7ce151f935769
GT-022,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9986,2108,3.58,2026-09-18T02:57:53.063602+00:00,53c7ce151f935769
GT-138,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10022,1617,2.36,2026-09-19T00:02:01.737502+00:00,53c7ce151f935769
GT-072,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10081,2166,2.92,2026-09-18T23:53:54.660880+00:00,53c7ce151f935769
GT-069,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10080,2255,2.79,2026-09-18T23:53:35.792363+00:00,53c7ce151f935769
GT-113,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9925,1681,3.18,2026-09-18T03:08:51.799313+00:00,53c7ce151f935769
GT-085,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10047,1641,2.74,2026-09-18T23:55:19.577198+00:00,53c7ce151f935769
GT-004,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9968,800,1.83,2026-09-18T02:55:19.567451+00:00,53c7ce151f935769
GT-079,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10086,2184,2.89,2026-09-18T03:25:31.334729+00:00,53c7ce151f935769
GT-009,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10255,2800,3.98,2026-09-18T02:55:55.180814+00:00,53c7ce151f935769
GT-149,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10008,1880,2.96,2026-09-18T03:13:19.625315+00:00,53c7ce151f935769
GT-089,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9981,1879,3.6,2026-09-18T03:26:33.997653+00:00,53c7ce151f935769
